STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19440211,   66.8,24,   61.4,24, 1016.2,24, 9999.9, 0,   4.1,24,  10.3,24,  30.9, 999.9,   80.2*,  57.4*,99.99 ,999.9, 010000,
722146,12816, 19440212,   49.3,24,   38.8,24, 1022.3,24, 9999.9, 0,  24.2,24,   7.9,24,  13.0, 999.9,   64.4*,  37.4*,99.99 ,999.9, 010000,
722146,12816, 19440213,   42.6,24,   30.4,24, 1029.9,24, 9999.9, 0,  16.7,24,   8.9,24,  15.0, 999.9,   60.3*,  31.3*, 0.00I,999.9, 000000,
722146,12816, 19440214,   60.3,24,   53.8,24, 1020.8,24, 9999.9, 0,   4.4,24,  14.4,24,  33.0, 999.9,   77.4*,  45.3*,99.99 ,999.9, 010000,
722146,12816, 19440215,   57.5,24,   53.2,24, 1021.4,24, 9999.9, 0,   5.6,24,   6.2,24,  15.9, 999.9,   64.4*,  51.3*,99.99 ,999.9, 110010,
722146,12816, 19440216,   62.7,24,   53.8,24, 1023.1,24, 9999.9, 0,  13.5,24,   4.3,24,   7.0, 999.9,   80.2*,  53.4*, 0.00I,999.9, 000000,
722146,12816, 19440217,   66.2,24,   60.8,24, 1021.9,24, 9999.9, 0,   4.4,24,   7.5,24,  15.9, 999.9,   84.4*,  57.4*,99.99 ,999.9, 110000,
722146,12816, 19440218,   71.4,24,   66.7,24, 1021.8,24, 9999.9, 0,  19.7,24,   8.5,24,  13.0, 999.9,   81.3*,  66.4*,99.99 ,999.9, 110000,
722146,12816, 19440219,   68.1,24,   61.2,24, 1023.4,24, 9999.9, 0,   3.7,24,   4.1,24,  12.0, 999.9,   83.3*,  56.3*, 0.00I,999.9, 000000,
722146,12816, 19440220,   64.3,24,   60.1,24, 1022.9,24, 9999.9, 0,   2.0,24,   5.4,24,   9.9, 999.9,   79.3*,  58.3*,99.99 ,999.9, 110000,
722146,12816, 19440221,   64.2,24,   59.4,24, 1024.3,24, 9999.9, 0,   3.0,24,   4.1,24,   8.0, 999.9,   77.4*,  56.3*, 0.00I,999.9, 100000,
